owner_name,business_name,business_website,yelp_website,phone_number,review_rating,number_of_reviews,business_categories
,Nancy Ace Fitness And Health Miami,nancyacefitnessandhealth.com,https://www.yelp.com/biz/nancy-ace-fitness-and-health-miami?osq=fitness,,,,"['Aerial Fitness', 'Nutritionists']"
,Icanfitness Elite Training Miami,icanfitnessmiami.com,https://www.yelp.com/biz/icanfitness-elite-training-miami?osq=fitness,(954) 417-0073,,,['Cardio Classes']
,Duro Zone Fitness Miami Lakes,durozonefit.com,https://www.yelp.com/biz/duro-zone-fitness-miami-lakes?osq=fitness,(305) 621-1170,,,['Gyms']
Blink Fitness,Blink Fitness Miramar Miramar 3,blinkfitness.com,https://www.yelp.com/biz/blink-fitness-miramar-miramar-3?osq=fitness,(754) 799-2002,,,"['Gyms', 'Trainers']"
Customer Service,Planet Fitness Miami Gardens,planetfitness.com,https://www.yelp.com/biz/planet-fitness-miami-gardens?osq=fitness,(305) 625-5999,,,"['Gyms', 'Trainers']"
Kervin G.,The Mobile Striking Coach Miami Gardens,themobilestrikingcoach.com,https://www.yelp.com/biz/the-mobile-striking-coach-miami-gardens?osq=fitness,(786) 357-5733,,,"['Trainers', 'Kickboxing', 'Boxing']"
Meghan S.,Turquoise Floating Yoga Miami 2,turquoisefloatingyoga.com,https://www.yelp.com/biz/turquoise-floating-yoga-miami-2?osq=fitness,(305) 349-3179,,,"['Yoga', 'Paddleboarding']"
Miguel M.,Movement Lab Miami Lakes 2,movementlabtraining.com,https://www.yelp.com/biz/movement-lab-miami-lakes-2?osq=fitness,(786) 502-4472,,,"['Gyms', 'Nutritionists', 'Trainers']"
,24 Hour Fitness Miami Gardens Miami Gardens,24hourfitness.com,https://www.yelp.com/biz/24-hour-fitness-miami-gardens-miami-gardens?osq=fitness,(305) 907-5960,,,"['Gyms', 'Trainers']"
,Rare Breed Fitness Miami Gardens,rarebreedcrossfit.com,https://www.yelp.com/biz/rare-breed-fitness-miami-gardens?osq=fitness,(786) 475-7273,,,['Interval Training Gyms']
